1700243135.2068937,a
1700243137.0160534,a,A
1700243137.5265203,c
1700243138.8388402,c,C
1700243139.3489273,d
1700243140.4776816,d,D
1700243140.9870658,b
1700243142.301225,b,B
1700243142.810575,e
1700243144.2810867,e,E
1700243144.7986732,a
1700243146.0478659,a,A
1700243146.5554647,c
1700243147.8541138,c,C
1700243148.368501,d
1700243149.546577,d,D
1700243150.052091,e
1700243151.2347908,e,E
1700243151.7462454,d
1700243152.9773026,d,D
1700243153.4826658,c
1700243154.8609068,c,C
1700243155.370823,b
1700243156.4610069,b,B
1700243156.970245,d
1700243158.2630477,d,D
1700243158.767303,a
1700243159.9660685,a,A
1700243160.4755812,d
1700243161.6179626,d,D
1700243162.13512,c
1700243163.5874417,c,C
1700243164.1028543,d
1700243165.2796636,d,D
1700243165.7851527,b
1700243166.9765933,b,B
1700243167.4895337,d
1700243168.646285,d,D
1700243169.152171,b
1700243170.3930888,b,B
