1700243000.8974798,c
1700243003.1013038,c,B
1700243005.332595,c,C
1700243005.8349748,b
1700243007.074118,b,B
1700243007.5854437,a
1700243008.7754617,a,A
1700243009.2919116,e
1700243011.1650088,e,E
1700243011.6686912,b
1700243015.3081508,b,B
1700243015.818082,c
1700243017.7086895,c,C
1700243018.2164996,b
1700243019.9617035,b,B
1700243020.473974,e
1700243021.7712016,e,E
1700243022.2857857,c
1700243024.269397,c,C
1700243024.782228,e
1700243026.3111892,e,E
1700243026.8145957,b
1700243028.1763017,b,B
1700243028.6858096,c
1700243030.1105962,c,C
1700243030.6222954,b
1700243031.8268974,b,B
1700243032.331972,e
1700243033.5462732,e,E
1700243034.0504816,c
1700243035.695938,c,C
1700243036.2064693,e
1700243039.0536075,e,E
1700243039.5666342,b
1700243041.3386955,b,B
1700243041.8547359,e
1700243043.0765016,e,E
1700243043.5795782,b
1700243045.0471518,b,B
