1700242660.139783,a
1700242661.4102502,a,A
1700242661.9219582,c
1700242664.8460784,c,C
1700242665.3619146,e
1700242667.731263,e,E
1700242668.2481284,b
1700242669.3788345,b,B
1700242669.8904924,d
1700242671.5125518,d,D
1700242672.0166314,e
1700242673.2791731,e,E
1700242673.7944646,b
1700242675.3314927,b,B
1700242675.843381,e
1700242677.067025,e,E
1700242677.5808425,c
1700242678.6117806,c,C
1700242679.114694,b
1700242680.5274022,b,B
1700242681.0332513,d
1700242682.2788672,d,D
1700242682.795271,a
1700242683.7449412,a,A
1700242684.2517214,d
1700242685.2629354,d,D
1700242685.772283,b
1700242686.805929,b,B
1700242687.3228154,a
1700242688.2380538,a,A
1700242688.7412422,d
1700242689.9766998,d,D
1700242690.485152,a
1700242691.415321,a,A
1700242691.926017,c
1700242692.9272428,c,C
1700242693.441876,a
1700242694.3705254,a,A
1700242694.8760657,b
1700242695.763094,b,B
