1700162746.7205963,E,[4, 5]
1700162750.4327517,E,E
1700162752.1139617,D,D
1700162753.8237991,C,C
1700162755.5044084,E,D
1700162758.0593321,E,E
1700162759.5043008,D,D
1700162761.1125047,B,C
1700162762.287969,B,A
1700162763.344039,B,A
1700162765.8233795,B,"[4, 5]"
1700162767.6423185,B,C
1700162768.5940735,B,B
1700162770.7303782,E,E
1700162772.4357297,A,[4]
1700162775.099249,A,A
1700162777.5323617,D,D
1700162780.1705492,C,C
1700162783.7415113,B,C
1700162784.6251566,B,A
1700162785.5443206,B,[4]
1700162786.3745964,B,B
1700162789.6937935,C,C
1700162791.384813,B,B
1700162793.7741783,E,E
1700162799.702366,B,B
1700162801.7954,D,D
1700162804.5074468,C,C
1700162806.1434815,D,D
1700162807.7844884,B,B
